num_experimento,num_iteracao,num_particula,pos_camada,pos_n1,pos_n2,pos_n3,pos_lr,vel_camada,vel_n1,vel_n2,vel_n3,vel_lr,pbest_camada,pbest_n1,pbest_n2,pbest_n3,pbest_lr,num_camadas,f1_score,peso,int_best
23,7,11,1.4358452443424605,128.0,128.0,128.0,0.1,0.30000000000000004,0.07895616927165741,0.0610358650923553,0.08755901254570861,0.0011763723509999994,1.9788766665419633,128.0,128.0,128.0,0.1,1,0.8529411764705882,0.1470588235294118,0
23,7,12,1.3486211805331993,74.43634547887268,80.19496688807891,75.90475428431836,0.07000300000000001,-0.30000000000000004,6.436345478872681,-9.538322067000891,-12.0,0.009999000000000001,2.4000000000000004,32.0,32.0,32.0,0.010009,1,0.8529411764705882,0.1470588235294118,0
23,7,13,1.4668110054429309,114.97598379584176,111.34099174483012,120.52125221740576,0.090001,0.2811701473694971,9.197581710384295,-12.0,8.147958957441256,-0.009999000000000001,1.5000000000000004,81.77840208545746,99.34099174483012,98.75558191547532,0.08329500000000001,1,0.8529411764705882,0.1470588235294118,0
23,7,14,2.1220485004568417,99.03863383197574,119.43090827198391,113.21977179452023,0.09357487571318229,-0.30000000000000004,-0.012735092327011088,9.801208682054964,-12.0,0.009999000000000001,3.0,88.0,88.0,88.0,0.0667,2,0.8529411764705882,0.1470588235294118,0
23,7,15,2.4298617738845305,128.0,128.0,128.0,0.1,-0.30000000000000004,0.031276391316909714,0.09636258020694202,0.03513770202493176,0.002026763100813086,4.0,128.0,128.0,128.0,0.1,2,0.90625,0.09375,0
23,7,16,2.0075098576050445,83.81287867968526,101.00497503719295,80.0,0.07000300000000001,-0.30000000000000004,-8.187121320314748,9.00497503719295,-12.0,0.009999000000000001,2.8000000000000007,56.0,56.0,56.0,0.030007000000000002,2,0.8529411764705882,0.1470588235294118,0
23,7,17,2.079390796072995,74.22608705869666,93.9252421978538,105.6312313814686,0.07722904928965227,-0.30000000000000004,-12.0,-12.0,-12.0,-0.009999000000000001,3.1000000000000005,55.00028997047436,84.0,84.0,0.063297,2,0.8656716417910447,0.13432835820895528,0
23,7,18,2.200000000000001,125.51304616895484,122.74622892837365,126.24541418056697,0.1,-0.30000000000000004,12.0,3.1114487449466504,12.0,0.009999000000000001,3.4000000000000004,110.30874797434123,112.0,112.0,0.086698,2,0.8529411764705882,0.1470588235294118,0
23,7,19,1.8339995291311415,128.0,128.0,128.0,0.1,-0.0660004708688596,0.0026210047510829737,0.029618714763604802,0.03477232284085366,0.0009588271537896013,2.8000000000000007,128.0,128.0,128.0,0.1,2,0.9666666666666667,0.033333333333333326,0
23,8,0,1.0,92.0,92.0,88.56417743340282,0.060004,-0.010125517476600475,12.0,-12.0,10.171236409636393,0.009999000000000001,1.0,20.0,20.0,20.0,1e-05,1,0.8529411764705882,0.1470588235294118,0
23,8,1,1.0,115.1094258189459,109.47315698796874,106.7636640347327,0.09873096497660641,-0.017294402999999993,4.406177005401626,4.007408268439267,12.0,0.009450632725487903,1.0,96.0,96.0,77.3909031787425,0.073296,1,0.8529411764705882,0.1470588235294118,0
23,8,2,1.0,128.0,128.0,128.0,0.09302114268368386,-0.017294402999999993,3.3132965611378142,2.6225627048477556,5.790131528032145,0.00364878415075612,1.0,124.0,124.0,110.78095551668233,0.07669899999999999,1,0.8529411764705882,0.1470588235294118,0
23,8,3,1.0,128.0,128.0,128.0,0.1,-0.017294402999999993,0.03881965340379141,0.0019980226256193874,0.015233429719986232,0.0016805319299999994,1.0,128.0,128.0,128.0,0.1,1,0.8656716417910447,0.13432835820895528,1
23,8,4,1.0043231861974256,81.86435681855926,66.48552893410277,89.07908180560925,0.039406863814051736,0.004323186197425461,-12.0,-12.0,12.0,-0.007250385412277412,1.0060760121377235,32.0,32.0,29.07908180560925,0.010009,1,0.8529411764705882,0.1470588235294118,0
23,8,5,1.4361634386829683,105.3784603076771,94.22508742178066,77.37706180924847,0.06329699999999999,-0.30000000000000004,12.0,12.0,-5.906635159141061,-0.009999000000000001,2.0,48.0,48.0,48.0,0.0333,1,0.8529411764705882,0.1470588235294118,0
23,8,6,1.5680898340795333,107.0214240268044,110.15368272192704,112.70951714913885,0.08044638335551522,-0.06545840522534765,-12.0,7.802870718257024,12.0,0.008061221278080028,2.0,88.0,88.0,88.0,0.0667,2,0.8787878787878788,0.12121212121212122,0
23,8,7,1.7702305700544656,128.0,128.0,128.0,0.1,0.10951769695339453,0.03160776481318942,0.17608038645450108,0.014868934296584311,0.0016805319299999994,2.0,128.0,128.0,128.0,0.1,2,0.0,1.0,0
23,8,8,1.0977289044701073,81.68373289250901,68.0,67.17075150544514,0.0460695158432935,-0.30000000000000004,-12.0,12.0,-12.0,0.009273013085720441,1.7,20.0,20.0,20.0,1e-05,1,0.8529411764705882,0.1470588235294118,0
23,8,9,1.0,123.47756452828511,113.23083334598026,86.7321467257642,0.09979006815270289,-0.07616980247312723,0.19491672007462224,1.410543138011261,5.901573278202941,0.006496068152702871,1.1634183807415879,111.2826478082105,106.86056494163371,83.51478496882424,0.08329500000000001,1,0.9206349206349206,0.07936507936507942,0
23,8,10,1.6324066374359687,109.90315256095303,115.97512613782644,116.67968279247883,0.0915463867691545,0.30000000000000004,-12.0,-12.0,-3.9102019263364576,-0.006133001570444388,3.0,106.47347852466748,99.7606386581111,100.85645332137183,0.08208864234263291,2,0.8529411764705882,0.1470588235294118,0
23,8,11,1.5509371417203843,128.0,128.0,128.0,0.1,0.1150918973779238,0.05526931849016018,0.04272510556464871,0.06129130878199602,0.0008234606456999996,1.9788766665419633,128.0,128.0,128.0,0.1,2,0.9508196721311475,0.049180327868852514,0
23,8,12,1.1856921932940876,74.58558460584652,92.19496688807891,78.90341369173704,0.06000400000000001,-0.1629289872391117,0.14923912697384267,12.0,2.9986594074186854,-0.009999000000000001,2.4000000000000004,32.0,32.0,32.0,0.010009,1,0.8529411764705882,0.1470588235294118,0
23,8,13,1.252739295382059,102.97598379584176,100.9101856593268,112.21270741057022,0.08000199999999999,-0.21407171006087175,-12.0,-10.43080608550332,-8.308544806835542,-0.009999000000000001,1.5000000000000004,81.77840208545746,99.34099174483012,98.75558191547532,0.08329500000000001,1,0.8529411764705882,0.1470588235294118,0
23,8,14,1.8220485004568416,104.30798804080152,128.0,124.4832004338433,0.1,-0.30000000000000004,5.2693542088257805,9.399060189217586,11.26342863932307,0.009999000000000001,2.1220485004568417,99.03863383197574,119.43090827198391,113.21977179452023,0.09357487571318229,2,0.9333333333333333,0.06666666666666665,0
23,8,15,2.3522268533927573,128.0,128.0,128.0,0.1,-0.07763492049177328,0.021893473921836798,0.06745380614485941,0.024596391417452228,0.0014187341705691602,4.0,128.0,128.0,128.0,0.1,2,0.9354838709677419,0.06451612903225812,0
